iter	Passed	Remaining
0	2	578
1	3	381
2	4	322
3	9	449
4	10	401
5	11	367
6	13	362
7	15	376
8	16	356
9	17	340
10	22	385
11	24	381
12	25	367
13	27	360
14	29	361
15	30	355
16	31	341
17	33	338
18	36	351
19	37	341
20	39	337
21	40	329
22	42	326
23	43	320
24	44	310
25	45	303
26	46	294
27	46	288
28	51	301
29	52	296
30	53	290
31	54	287
32	56	283
33	57	279
34	58	276
35	59	273
36	60	267
37	63	269
38	65	268
39	65	263
40	66	258
41	67	254
42	68	249
43	69	245
44	69	240
45	70	236
46	71	232
47	72	228
48	73	226
49	75	225
50	77	225
51	78	223
52	79	221
53	81	219
54	81	215
55	82	212
56	83	209
57	84	206
58	85	203
59	85	200
60	86	197
61	87	195
62	88	192
63	89	190
64	92	192
65	96	195
66	97	193
67	98	191
68	100	191
69	101	188
70	103	187
71	107	191
72	109	190
73	110	188
74	112	187
75	113	185
76	114	183
77	115	180
78	117	180
79	118	178
80	120	176
81	122	175
82	124	174
83	125	172
84	126	170
85	128	170
86	130	169
87	135	172
88	136	170
89	137	168
90	139	167
91	140	164
92	141	163
93	142	161
94	144	159
95	146	158
96	149	158
97	150	156
98	151	154
99	152	152
100	153	150
101	155	149
102	155	146
103	156	144
104	157	142
105	158	140
106	160	139
107	163	139
108	164	137
109	165	135
110	166	133
111	169	133
112	171	132
113	173	130
114	174	128
115	177	128
116	178	126
117	179	124
118	180	122
119	181	121
120	183	119
121	184	118
122	185	116
123	186	114
124	187	112
125	190	111
126	192	110
127	193	108
128	194	107
129	195	105
130	196	103
131	199	102
132	200	101
133	206	101
134	208	100
135	209	98
136	211	97
137	213	95
138	215	94
139	216	92
140	221	92
141	222	90
142	222	88
143	224	87
144	225	85
145	225	83
146	226	81
147	227	79
148	228	78
149	229	76
150	230	74
151	232	73
152	234	71
153	236	70
154	237	68
155	238	67
156	239	65
157	241	64
158	243	62
159	244	61
160	249	60
161	252	59
162	253	57
163	255	56
164	257	54
165	258	53
166	262	51
167	263	50
168	264	48
169	265	46
170	266	45
171	266	43
172	268	41
173	269	40
174	270	38
175	271	37
176	274	35
177	278	34
178	279	32
179	281	31
180	282	29
181	284	28
182	285	26
183	287	24
184	288	23
185	291	21
186	292	20
187	293	18
188	295	17
189	296	15
190	297	14
191	299	12
192	300	10
193	302	9
194	303	7
195	304	6
196	306	4
197	307	3
198	308	1
199	309	0
